auction_number,timestamp,deep_agent,cap_bestx1_balanced,cap_bestx1_aggressive,cap_tier,dynamic_cap_bestx1_balanced,dynamic_cap_bestx1_aggressive,dynamic_cap_tier,random_1
107,2025-08-05 18:55:36.852382,2.984168865435356,3.395778364116095,2.9736147757255935,2.947229551451188,2.704485488126649,2.678100263852243,2.8997361477572556,1.9393139841688656
108,2025-08-05 18:55:38.106323,2.984168865435356,3.353562005277045,2.6147757255936677,3.0237467018469664,2.6860158311345645,2.8839050131926123,2.796833773087071,1.8839050131926123
109,2025-08-05 18:55:39.457097,2.984168865435356,3.2849604221635884,2.828496042216359,3.2216358839050128,2.736147757255937,2.807387862796834,2.8786279683377307,1.8970976253298153
110,2025-08-05 18:55:40.912221,2.984168865435356,3.29287598944591,2.881266490765172,2.7546174142480218,2.7097625329815305,2.704485488126649,2.9155672823219,1.9762532981530345
111,2025-08-05 18:55:42.328577,2.984168865435356,3.3825857519788918,3.058047493403694,2.7493403693931397,2.7150395778364116,2.7493403693931397,2.9736147757255935,2.0395778364116097
112,2025-08-05 18:55:43.683945,2.984168865435356,3.401055408970976,2.9815303430079156,2.7255936675461743,2.704485488126649,2.6807387862796834,2.9155672823219,1.9683377308707124
113,2025-08-05 18:55:44.930832,2.984168865435356,3.3746701846965697,2.9076517150395778,2.905013192612137,2.8812664907651717,2.7493403693931397,2.7730870712401057,1.8364116094986809
114,2025-08-05 18:55:46.376657,2.984168865435356,3.2453825857519787,2.7941952506596306,2.7546174142480213,2.7598944591029024,2.815303430079156,2.889182058047493,2.087071240105541
115,2025-08-05 18:55:47.808844,2.984168865435356,3.361477572559367,2.6385224274406336,2.857519788918206,2.6965699208443272,2.95778364116095,2.686015831134565,2.345646437994723
116,2025-08-05 18:55:49.057707,2.984168865435356,3.387862796833773,2.781002638522428,3.031662269129288,2.688654353562005,2.6464379947229553,2.992084432717678,1.9023746701846969
117,2025-08-05 18:55:50.510015,2.984168865435356,3.343007915567282,2.54089709762533,2.5567282321899736,2.7124010554089706,2.83377308707124,2.7730870712401057,1.9234828496042213
118,2025-08-05 18:55:51.884783,2.984168865435356,3.3825857519788918,2.9313984168865437,2.8733509234828496,2.767810026385224,2.8047493403693933,2.8548812664907657,1.7097625329815302
